location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,0,3,1,10,0.0,0.0,0.0,0.0,2026-01-06,2026-02-28
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,4,11,1,10,308.25,715.0,0.0,0.0,2026-01-06,2026-02-28
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,12,15,1,10,513.75,715.0,0.0,0.0,2026-01-06,2026-02-28
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,16,99,1,10,1027.5,1430.0,0.0,0.0,2026-01-06,2026-02-28
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,0,3,1,10,0.0,0.0,0.0,0.0,2026-03-01,2026-03-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,4,11,1,10,251.7,580.0,0.0,0.0,2026-03-01,2026-03-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,12,15,1,10,419.5,580.0,0.0,0.0,2026-03-01,2026-03-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,16,99,1,10,839.0,1165.0,0.0,0.0,2026-03-01,2026-03-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,0,3,1,10,0.0,0.0,0.0,0.0,2026-05-15,2026-05-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,4,11,1,10,251.7,580.0,0.0,0.0,2026-05-15,2026-05-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,12,15,1,10,419.5,580.0,0.0,0.0,2026-05-15,2026-05-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,16,99,1,10,839.0,1165.0,0.0,0.0,2026-05-15,2026-05-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,0,3,1,10,0.0,0.0,0.0,0.0,2026-06-01,2026-10-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,4,11,1,10,308.25,715.0,0.0,0.0,2026-06-01,2026-10-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,12,15,1,10,513.75,715.0,0.0,0.0,2026-06-01,2026-10-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,16,99,1,10,1027.5,1430.0,0.0,0.0,2026-06-01,2026-10-31
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,0,3,1,10,0.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,4,11,1,10,251.7,580.0,0.0,0.0,2026-11-01,2026-12-19
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,12,15,1,10,419.5,580.0,0.0,0.0,2026-11-01,2026-12-19
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,16,99,1,10,839.0,1165.0,0.0,0.0,2026-11-01,2026-12-19
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,0,3,1,10,0.0,0.0,0.0,0.0,2026-12-20,2027-01-05
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,4,11,1,10,338.85,785.0,0.0,0.0,2026-12-20,2027-01-05
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,12,15,1,10,564.75,785.0,0.0,0.0,2026-12-20,2027-01-05
,Forest Chem Chem,,,,0,,USD,Exclusive use - first 8 pax,,10,16,99,1,10,1129.5,1570.0,0.0,0.0,2026-12-20,2027-01-05
