location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/05/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,5,12,1,2,475.0,96.0,0.0,0.0,01/01/2026,31/05/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,13,15,1,2,537.0,96.0,0.0,0.0,01/01/2026,31/05/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,16,99,1,2,597.0,96.0,0.0,0.0,01/01/2026,31/05/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,5,12,1,2,530.0,127.0,0.0,0.0,01/06/2026,31/10/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,13,15,1,2,609.0,127.0,0.0,0.0,01/06/2026,31/10/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,16,99,1,2,690.0,127.0,0.0,0.0,01/06/2026,31/10/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,5,12,1,2,475.0,96.0,0.0,0.0,01/11/2026,30/11/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,13,15,1,2,537.0,96.0,0.0,0.0,01/11/2026,30/11/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,16,99,1,2,597.0,96.0,0.0,0.0,01/11/2026,30/11/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,5,12,1,2,530.0,127.0,0.0,0.0,01/12/2026,31/12/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,13,15,1,2,609.0,127.0,0.0,0.0,01/12/2026,31/12/2026
,Olkeri Camp,,,,0,,USD,Tented Suite,,2,16,99,1,2,690.0,127.0,0.0,0.0,01/12/2026,31/12/2026
