location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,3,11,1,2,57.0,76.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,12,99,1,2,76.0,76.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,0,2,1,2,0.0,0.0,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,3,11,1,2,46.88,62.5,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,12,99,1,2,62.5,62.5,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,0,2,1,2,0.0,0.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,3,11,1,2,57.0,76.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,12,99,1,2,76.0,76.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,29.0,58.0,01/01/2027,28/02/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,57.0,76.0,29.0,58.0,01/01/2027,28/02/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,76.0,76.0,29.0,58.0,01/01/2027,28/02/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,29.0,58.0,01/03/2027,31/03/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,46.88,62.5,29.0,58.0,01/03/2027,31/03/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,62.5,62.5,29.0,58.0,01/03/2027,31/03/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,29.0,58.0,01/04/2027,31/05/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,37.88,50.5,29.0,58.0,01/04/2027,31/05/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,50.5,50.5,29.0,58.0,01/04/2027,31/05/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,57.0,76.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,76.0,76.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,46.88,62.5,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,62.5,62.5,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,57.0,76.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,76.0,76.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,29.0,58.0,01/01/2027,28/02/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,51.0,68.0,29.0,58.0,01/01/2027,28/02/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,68.0,68.0,29.0,58.0,01/01/2027,28/02/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,29.0,58.0,01/03/2027,31/03/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,43.5,58.0,29.0,58.0,01/03/2027,31/03/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,58.0,58.0,29.0,58.0,01/03/2027,31/03/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,29.0,58.0,01/04/2027,31/05/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,33.0,44.0,29.0,58.0,01/04/2027,31/05/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,44.0,44.0,29.0,58.0,01/04/2027,31/05/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,51.0,68.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,68.0,68.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,43.5,58.0,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,58.0,58.0,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,51.0,68.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,68.0,68.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,29.0,58.0,01/01/2027,28/02/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,136.5,0.0,29.0,58.0,01/01/2027,28/02/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,182.0,0.0,29.0,58.0,01/01/2027,28/02/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,29.0,58.0,01/03/2027,31/03/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,116.25,0.0,29.0,58.0,01/03/2027,31/03/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,155.0,0.0,29.0,58.0,01/03/2027,31/03/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,29.0,58.0,01/04/2027,31/05/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,98.25,0.0,29.0,58.0,01/04/2027,31/05/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,131.0,0.0,29.0,58.0,01/04/2027,31/05/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,136.5,0.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,182.0,0.0,29.0,58.0,01/06/2027,31/10/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,116.25,0.0,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,155.0,0.0,29.0,58.0,01/11/2027,15/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,136.5,0.0,29.0,58.0,16/12/2027,31/12/2027
Arusha,Arusha Planet Lorge & SPA 27,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,182.0,0.0,29.0,58.0,16/12/2027,31/12/2027
