location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Single),test,1,13,99,1,1,264.0,0.0,0.0,0.0,20/12/2026,31/12/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,1,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,5,12,1,2,84.5,169.0,0.0,0.0,01/01/2026,31/03/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,13,99,1,2,169.0,169.0,0.0,0.0,01/01/2026,31/03/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,1,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,5,12,1,2,72.0,144.0,0.0,0.0,01/04/2026,31/05/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,13,99,1,2,144.0,144.0,0.0,0.0,01/04/2026,31/05/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,1,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,5,12,1,2,84.5,169.0,0.0,0.0,01/06/2026,31/10/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,13,99,1,2,169.0,169.0,0.0,0.0,01/06/2026,31/10/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,1,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,5,12,1,2,72.0,144.0,0.0,0.0,01/11/2026,19/12/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,13,99,1,2,144.0,144.0,0.0,0.0,01/11/2026,19/12/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,1,4,1,2,0.0,0.0,0.0,0.0,20/12/2026,31/12/2026
Arusha,Original Maasai Lodge,,tesst,FALSE,0,FALSE,USD,Traditiona Maasai Boma (Double),test,2,5,12,1,2,84.5,169.0,0.0,0.0,20/12/2026,31/12/2026
