location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Kudu Lodge,,,,0,,USD,Suite Room ( double),,2,5,11,1,2,71.25,142.5,10.0,25.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Suite Room ( double),,2,12,99,1,2,142.5,142.5,10.0,25.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Suite Room ( double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Suite Room ( double),,2,5,11,1,2,38.25,76.5,10.0,25.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Suite Room ( double),,2,12,99,1,2,76.5,76.5,10.0,25.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Suite Room ( double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Suite Room ( double),,2,5,11,1,2,71.25,142.5,10.0,25.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Suite Room ( double),,2,12,99,1,2,142.5,142.5,10.0,25.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room (Double),,2,5,11,1,2,53.75,107.5,15.0,30.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room (Double),,2,12,99,1,2,107.5,107.5,15.0,30.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room (Double),,2,5,11,1,2,24.5,49.0,15.0,30.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room (Double),,2,12,99,1,2,49.0,49.0,15.0,30.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room (Double),,2,5,11,1,2,53.75,107.5,15.0,30.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room (Double),,2,12,99,1,2,107.5,107.5,15.0,30.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Twin),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Twin),,2,5,11,1,2,53.75,107.5,15.0,30.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Twin),,2,12,99,1,2,107.5,107.5,15.0,30.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Twin),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Twin),,2,5,11,1,2,24.5,49.0,15.0,30.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Twin),,2,12,99,1,2,49.0,49.0,15.0,30.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Twin),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Twin),,2,5,11,1,2,53.75,107.5,15.0,30.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Twin),,2,12,99,1,2,107.5,107.5,15.0,30.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Triple),,3,5,11,1,3,50.66,101.33,15.0,30.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Triple),,3,12,99,1,3,101.33,101.33,15.0,30.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Triple),,3,5,11,1,3,24.84,49.67,15.0,30.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Triple),,3,12,99,1,3,49.67,49.67,15.0,30.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Triple),,3,5,11,1,3,50.66,101.33,15.0,30.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Triple),,3,12,99,1,3,101.33,101.33,15.0,30.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Quadruple),,5,0,4,1,5,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Quadruple),,5,5,11,1,5,44.3,88.6,15.0,30.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Quadruple),,5,12,99,1,5,88.6,88.6,15.0,30.0,01/01/2026,31/03/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Quadruple),,5,0,4,1,5,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Quadruple),,5,5,11,1,5,18.6,37.2,15.0,30.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Quadruple),,5,12,99,1,5,37.2,37.2,15.0,30.0,01/04/2026,31/05/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Quadruple),,5,0,4,1,5,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Quadruple),,5,5,11,1,5,44.3,88.6,15.0,30.0,01/06/2026,31/12/2026
,Kudu Lodge,,,,0,,USD,Family Room ( Quadruple),,5,12,99,1,5,88.6,88.6,15.0,30.0,01/06/2026,31/12/2026
