location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,8,12,1,2,145.0,290.0,0.0,0.0,01/01/2026,05/01/2026
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,13,99,1,2,290.0,290.0,0.0,0.0,01/01/2026,05/01/2026
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,8,12,1,2,130.0,260.0,0.0,0.0,06/01/2026,31/05/2026
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,13,99,1,2,260.0,260.0,0.0,0.0,06/01/2026,31/05/2026
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,8,12,1,2,145.0,290.0,0.0,0.0,01/06/2026,31/10/2026
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,13,99,1,2,290.0,290.0,0.0,0.0,01/06/2026,31/10/2026
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,8,12,1,2,130.0,260.0,0.0,0.0,01/11/2026,19/12/2026
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,13,99,1,2,260.0,260.0,0.0,0.0,01/11/2026,19/12/2026
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,8,12,1,2,145.0,290.0,0.0,0.0,20/12/2026,31/12/2026
Mkomazi  National park,Mkomazi  retreat,,test,FALSE,0,FALSE,USD,Dindira Plains View Double Room,test,2,13,99,1,2,290.0,290.0,0.0,0.0,20/12/2026,31/12/2026
