location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Kilemakyaro,,,,0,,USD,Single Room,,1,13,99,1,1,215.0,0.0,20.0,35.0,2026-01-01,2026-02-28
,Kilemakyaro,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Kilemakyaro,,,,0,,USD,Single Room,,1,6,12,1,1,107.5,0.0,20.0,35.0,2026-01-01,2026-02-28
,Kilemakyaro,,,,0,,USD,Single Room,,1,13,99,1,1,120.0,0.0,20.0,35.0,2026-03-01,2026-03-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-03-01,2026-03-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,6,12,1,1,60.0,0.0,20.0,35.0,2026-03-01,2026-03-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,13,99,1,1,95.0,0.0,20.0,35.0,2026-04-01,2026-05-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-04-01,2026-05-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,6,12,1,1,47.5,0.0,20.0,35.0,2026-04-01,2026-05-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,13,99,1,1,120.0,0.0,20.0,35.0,2026-06-01,2026-06-30
,Kilemakyaro,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-06-01,2026-06-30
,Kilemakyaro,,,,0,,USD,Single Room,,1,6,12,1,1,60.0,0.0,20.0,35.0,2026-06-01,2026-06-30
,Kilemakyaro,,,,0,,USD,Single Room,,1,13,99,1,1,215.0,0.0,20.0,35.0,2026-07-01,2026-10-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,6,12,1,1,107.5,0.0,20.0,35.0,2026-07-01,2026-10-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,13,99,1,1,120.0,0.0,20.0,35.0,2026-11-01,2026-12-20
,Kilemakyaro,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-11-01,2026-12-20
,Kilemakyaro,,,,0,,USD,Single Room,,1,6,12,1,1,60.0,0.0,20.0,35.0,2026-11-01,2026-12-20
,Kilemakyaro,,,,0,,USD,Single Room,,1,13,99,1,1,215.0,0.0,20.0,35.0,2026-12-21,2026-12-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-12-21,2026-12-31
,Kilemakyaro,,,,0,,USD,Single Room,,1,6,12,1,1,107.5,0.0,20.0,35.0,2026-12-21,2026-12-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,13,99,1,2,85.0,85.0,20.0,35.0,2026-01-01,2026-02-28
,Kilemakyaro,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Kilemakyaro,,,,0,,USD,Double Room,,2,6,12,1,2,42.5,85.0,20.0,35.0,2026-01-01,2026-02-28
,Kilemakyaro,,,,0,,USD,Double Room,,2,13,99,1,2,55.0,55.0,20.0,35.0,2026-03-01,2026-03-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-03-01,2026-03-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,6,12,1,2,27.5,55.0,20.0,35.0,2026-03-01,2026-03-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,13,99,1,2,40.0,40.0,20.0,35.0,2026-04-01,2026-05-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-04-01,2026-05-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,6,12,1,2,20.0,40.0,20.0,35.0,2026-04-01,2026-05-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,13,99,1,2,55.0,55.0,20.0,35.0,2026-06-01,2026-06-30
,Kilemakyaro,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-06-01,2026-06-30
,Kilemakyaro,,,,0,,USD,Double Room,,2,6,12,1,2,27.5,55.0,20.0,35.0,2026-06-01,2026-06-30
,Kilemakyaro,,,,0,,USD,Double Room,,2,13,99,1,2,85.0,85.0,20.0,35.0,2026-07-01,2026-10-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,6,12,1,2,42.5,85.0,20.0,35.0,2026-07-01,2026-10-31
,Kilemakyaro,,,,0,,USD,Double Room,,2,13,99,1,2,55.0,55.0,20.0,35.0,2026-11-01,2026-12-20
