location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,4,11,1,2,121.25,242.5,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,12,99,1,2,242.5,242.5,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/08/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,4,11,1,2,277.5,555.0,0.0,0.0,01/06/2026,31/08/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,12,99,1,2,555.0,555.0,0.0,0.0,01/06/2026,31/08/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,4,11,1,2,218.75,437.5,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,12,99,1,2,437.5,437.5,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2026,21/12/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,4,11,1,2,136.25,272.5,0.0,0.0,01/11/2026,21/12/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,12,99,1,2,272.5,272.5,0.0,0.0,01/11/2026,21/12/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,22/12/2026,03/01/2027
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,4,11,1,2,277.5,555.0,0.0,0.0,22/12/2026,03/01/2027
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Lagoon View Double,Test,2,12,99,1,2,555.0,555.0,0.0,0.0,22/12/2026,03/01/2027
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,4,11,1,1,430.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,12,99,1,1,860.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,4,11,1,1,270.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,12,99,1,1,540.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,4,11,1,1,245.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,12,99,1,1,490.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/08/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,4,11,1,1,527.5,0.0,0.0,0.0,01/06/2026,31/08/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,12,99,1,1,1055.0,0.0,0.0,0.0,01/06/2026,31/08/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,4,11,1,1,430.0,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,12,99,1,1,860.0,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2026,21/12/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,4,11,1,1,270.0,0.0,0.0,0.0,01/11/2026,21/12/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,12,99,1,1,540.0,0.0,0.0,0.0,01/11/2026,21/12/2026
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,22/12/2026,03/01/2027
Serengeti,Melia Serengeti Lodge 2027,,Test,FALSE,0,FALSE,USD,Melia Savannah Panormaic Single,Test,1,4,11,1,1,527.5,0.0,0.0,0.0,22/12/2026,03/01/2027
