location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite (Double),,2,16,99,1,2,1830.0,1830.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite (Double),,2,4,11,1,2,735.0,2450.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite (Double),,2,12,15,1,2,1229.9,2450.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite (Double),,2,16,99,1,2,2450.0,2450.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-01-06,2026-03-31
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,667.5,2225.0,0.0,0.0,2026-01-06,2026-03-31
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,1116.95,2225.0,0.0,0.0,2026-01-06,2026-03-31
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,2225.0,2225.0,0.0,0.0,2026-01-06,2026-03-31
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-05-15,2026-06-14
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,549.0,1830.0,0.0,0.0,2026-05-15,2026-06-14
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,918.66,1830.0,0.0,0.0,2026-05-15,2026-06-14
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,1830.0,1830.0,0.0,0.0,2026-05-15,2026-06-14
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-06-15,2026-10-31
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,667.5,2225.0,0.0,0.0,2026-06-15,2026-10-31
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,1116.95,2225.0,0.0,0.0,2026-06-15,2026-10-31
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,2225.0,2225.0,0.0,0.0,2026-06-15,2026-10-31
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,549.0,1830.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,918.66,1830.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,1830.0,1830.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,735.0,2450.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,1229.9,2450.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Mwiba Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,2450.0,2450.0,0.0,0.0,2026-12-20,2027-01-05
