location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,5,12,1,2,92.5,185.0,19.5,38.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,13,99,1,2,185.0,185.0,39.0,76.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,5,12,1,2,79.5,159.0,19.5,38.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,13,99,1,2,159.0,159.0,39.0,76.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,5,12,1,2,92.5,185.0,19.5,38.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,13,99,1,2,185.0,185.0,39.0,76.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,5,12,1,2,79.5,159.0,19.5,38.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,13,99,1,2,159.0,159.0,39.0,76.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,0,4,1,2,0.0,0.0,0.0,0.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,5,12,1,2,92.5,185.0,19.5,38.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Garden Double Rooms,,2,13,99,1,2,185.0,185.0,39.0,76.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,5,12,1,1,126.0,0.0,19.5,38.0,01/04/2026,31/05/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,13,99,1,1,252.0,0.0,39.0,76.0,01/04/2026,31/05/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,5,12,1,1,145.5,0.0,19.5,38.0,01/06/2026,31/10/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,13,99,1,1,291.0,0.0,39.0,76.0,01/06/2026,31/10/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2026,23/12/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,5,12,1,1,126.0,0.0,19.5,38.0,01/11/2026,23/12/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,13,99,1,1,252.0,0.0,39.0,76.0,01/11/2026,23/12/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,5,12,1,1,145.5,0.0,19.5,38.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,13,99,1,1,291.0,0.0,39.0,76.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,5,12,1,1,126.0,0.0,19.5,38.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,13,99,1,1,252.0,0.0,39.0,76.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,5,12,1,1,145.5,0.0,19.5,38.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,13,99,1,1,291.0,0.0,39.0,76.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,5,12,1,1,126.0,0.0,19.5,38.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,13,99,1,1,252.0,0.0,39.0,76.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,5,12,1,1,145.5,0.0,19.5,38.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Single Room,,1,13,99,1,1,291.0,0.0,39.0,76.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,5,12,1,2,79.5,159.0,19.5,38.0,01/04/2026,31/05/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,13,99,1,2,159.0,159.0,39.0,76.0,01/04/2026,31/05/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,5,12,1,2,92.5,185.0,19.5,38.0,01/06/2026,31/10/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,13,99,1,2,185.0,185.0,39.0,76.0,01/06/2026,31/10/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,23/12/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,5,12,1,2,79.5,159.0,19.5,38.0,01/11/2026,23/12/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,13,99,1,2,159.0,159.0,39.0,76.0,01/11/2026,23/12/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,5,12,1,2,92.5,185.0,19.5,38.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,13,99,1,2,185.0,185.0,39.0,76.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,5,12,1,2,79.5,159.0,19.5,38.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,13,99,1,2,159.0,159.0,39.0,76.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,5,12,1,2,92.5,185.0,19.5,38.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,13,99,1,2,185.0,185.0,39.0,76.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,5,12,1,2,79.5,159.0,19.5,38.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,13,99,1,2,159.0,159.0,39.0,76.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,5,12,1,2,92.5,185.0,19.5,38.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Cottages Double Room,,2,13,99,1,2,185.0,185.0,39.0,76.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,5,12,1,4,79.5,159.0,19.5,38.0,01/04/2026,31/05/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,13,99,1,4,159.0,159.0,39.0,76.0,01/04/2026,31/05/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,5,12,1,4,92.5,185.0,19.5,38.0,01/06/2026,31/10/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,13,99,1,4,185.0,185.0,39.0,76.0,01/06/2026,31/10/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/11/2026,23/12/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,5,12,1,4,79.5,159.0,19.5,38.0,01/11/2026,23/12/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,13,99,1,4,159.0,159.0,39.0,76.0,01/11/2026,23/12/2026
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,0,4,1,4,0.0,0.0,0.0,0.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,5,12,1,4,92.5,185.0,19.5,38.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,13,99,1,4,185.0,185.0,39.0,76.0,24/12/2026,31/03/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,5,12,1,4,79.5,159.0,19.5,38.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,13,99,1,4,159.0,159.0,39.0,76.0,01/04/2027,31/05/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,5,12,1,4,92.5,185.0,19.5,38.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,13,99,1,4,185.0,185.0,39.0,76.0,01/06/2027,31/10/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,5,12,1,4,79.5,159.0,19.5,38.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,13,99,1,4,159.0,159.0,39.0,76.0,01/11/2027,23/12/2027
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,0,4,1,4,0.0,0.0,0.0,0.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,5,12,1,4,92.5,185.0,19.5,38.0,24/12/2027,31/03/2028
,Ngaresero Nountain Lodge,,Test,,0,,USD,Main House Family Suites,,4,13,99,1,4,185.0,185.0,39.0,76.0,24/12/2027,31/03/2028
