location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,03/01/2027,30/06/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,4,11,1,2,95.0,130.0,0.0,0.0,03/01/2027,30/06/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,12,99,1,2,130.0,130.0,0.0,0.0,03/01/2027,30/06/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2027,14/07/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,4,11,1,2,155.0,220.0,0.0,0.0,01/07/2027,14/07/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,12,99,1,2,220.0,220.0,0.0,0.0,01/07/2027,14/07/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,15/07/2027,15/09/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,4,11,1,2,185.0,260.0,0.0,0.0,15/07/2027,15/09/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,12,99,1,2,260.0,260.0,0.0,0.0,15/07/2027,15/09/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/10/2027,22/12/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,4,11,1,2,95.0,130.0,0.0,0.0,01/10/2027,22/12/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,12,99,1,2,130.0,130.0,0.0,0.0,01/10/2027,22/12/2027
Masai Mara,Zebra Plains Mara Camp 27,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,23/12/2027,02/01/2028
