location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,6,12,1,3,380.25,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,13,99,1,3,507.0,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,0,4,1,3,120.75,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,5,7,1,3,241.5,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,6,12,1,3,362.25,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,13,99,1,3,483.0,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,0,4,1,3,126.75,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,5,7,1,3,253.5,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,6,12,1,3,380.25,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,13,99,1,3,507.0,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,0,4,1,3,126.75,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,5,7,1,3,253.5,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,6,12,1,3,380.25,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,13,99,1,3,507.0,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,0,4,1,3,126.75,80.0,0.0,0.0,05/01/2027,31/03/2027
,Vuma Hills Tented Camp by Stanley Kopjes,,Test,,0,,USD,Standard Room 3 pax,,3,5,7,1,3,253.5,80.0,0.0,0.0,05/01/2027,31/03/2027
