location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,65.0,65.0,15.0,30.0,01/01/2028,31/03/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,0,4,1,2,0.0,0.0,15.0,30.0,01/04/2028,31/05/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,5,11,1,2,15.0,60.0,15.0,30.0,01/04/2028,31/05/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,60.0,60.0,15.0,30.0,01/04/2028,31/05/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,0,4,1,2,0.0,0.0,15.0,30.0,01/06/2028,31/10/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,5,11,1,2,16.25,65.0,15.0,30.0,01/06/2028,31/10/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,65.0,65.0,15.0,30.0,01/06/2028,31/10/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,0,4,1,2,0.0,0.0,15.0,30.0,01/11/2028,30/11/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,5,11,1,2,15.0,60.0,15.0,30.0,01/11/2028,30/11/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,60.0,60.0,15.0,30.0,01/11/2028,30/11/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,0,4,1,2,0.0,0.0,15.0,30.0,01/12/2028,31/12/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,5,11,1,2,16.25,65.0,15.0,30.0,01/12/2028,31/12/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,65.0,65.0,15.0,30.0,01/12/2028,31/12/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,15.0,30.0,01/01/2028,31/03/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,11,1,3,11.67,46.67,15.0,30.0,01/01/2028,31/03/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,12,99,1,3,46.67,46.67,15.0,30.0,01/01/2028,31/03/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,15.0,30.0,01/04/2028,31/05/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,11,1,3,10.83,43.33,15.0,30.0,01/04/2028,31/05/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,12,99,1,3,43.33,43.33,15.0,30.0,01/04/2028,31/05/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,15.0,30.0,01/06/2028,31/10/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,11,1,3,11.67,46.67,15.0,30.0,01/06/2028,31/10/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,12,99,1,3,46.67,46.67,15.0,30.0,01/06/2028,31/10/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,15.0,30.0,01/11/2028,30/11/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,11,1,3,10.83,43.33,15.0,30.0,01/11/2028,30/11/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,12,99,1,3,43.33,43.33,15.0,30.0,01/11/2028,30/11/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,15.0,30.0,01/12/2028,31/12/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,11,1,3,11.67,46.67,15.0,30.0,01/12/2028,31/12/2028
Arusha,Weruweru River Rodge 28,,test,FALSE,0,FALSE,USD,Triple Room,test,3,12,99,1,3,46.67,46.67,15.0,30.0,01/12/2028,31/12/2028
