location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,12,1,1,50.0,0.0,0.0,15.0,01/01/2027,31/03/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,150.0,0.0,0.0,10.0,01/01/2027,31/03/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,12,1,1,45.0,0.0,0.0,10.0,01/04/2027,31/05/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,115.0,0.0,0.0,10.0,01/04/2027,31/05/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,12,1,1,50.0,0.0,0.0,15.0,01/06/2027,31/10/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,150.0,0.0,0.0,10.0,01/06/2027,31/10/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,12,1,1,45.0,0.0,0.0,10.0,01/11/2027,30/11/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,115.0,0.0,0.0,10.0,01/11/2027,30/11/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,12,1,1,50.0,0.0,0.0,15.0,01/12/2027,31/12/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,150.0,0.0,0.0,10.0,01/12/2027,31/12/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,6,12,1,2,50.0,112.5,0.0,15.0,01/01/2027,31/03/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,112.5,112.5,0.0,25.0,01/01/2027,31/03/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,6,12,1,2,45.0,85.0,0.0,10.0,01/04/2027,31/05/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,85.0,85.0,0.0,20.0,01/04/2027,31/05/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,6,12,1,2,50.0,112.5,0.0,15.0,01/06/2027,31/10/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,112.5,112.5,0.0,25.0,01/06/2027,31/10/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,6,12,1,2,45.0,85.0,0.0,10.0,01/11/2027,30/11/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,85.0,85.0,0.0,20.0,01/11/2027,30/11/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,6,12,1,2,50.0,112.5,0.0,15.0,01/12/2027,31/12/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,112.5,112.5,0.0,25.0,01/12/2027,31/12/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,6,12,1,3,50.0,101.67,0.0,15.0,01/01/2027,31/03/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,101.67,101.67,0.0,35.0,01/01/2027,31/03/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,6,12,1,3,45.0,73.33,0.0,10.0,01/04/2027,31/05/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,73.33,73.33,0.0,35.0,01/04/2027,31/05/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,6,12,1,3,50.0,101.67,0.0,15.0,01/06/2027,31/10/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,101.67,101.67,0.0,35.0,01/06/2027,31/10/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,6,12,1,3,45.0,73.33,0.0,10.0,01/11/2027,30/11/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,73.33,73.33,0.0,35.0,01/11/2027,30/11/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,6,12,1,3,50.0,101.67,0.0,15.0,01/12/2027,31/12/2027
Karatu,Sangaiwe Mbuyu Tended Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,101.67,101.67,0.0,35.0,01/12/2027,31/12/2027
