location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Moon Bow Lodge,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-15
,Moon Bow Lodge,,,,0,,USD,Twin Room,,2,5,16,1,2,55.0,55.0,15.0,27.5,2026-11-01,2026-12-15
,Moon Bow Lodge,,,,0,,USD,Twin Room,,2,17,99,1,2,110.0,110.0,30.0,55.0,2026-11-01,2026-12-15
,Moon Bow Lodge,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-12-16,2026-12-31
,Moon Bow Lodge,,,,0,,USD,Twin Room,,2,5,16,1,2,63.75,63.75,15.0,27.5,2026-12-16,2026-12-31
,Moon Bow Lodge,,,,0,,USD,Twin Room,,2,17,99,1,2,127.5,127.5,30.0,55.0,2026-12-16,2026-12-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,5,16,1,3,127.5,255.0,15.0,27.5,2026-01-01,2026-03-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,255.0,510.0,30.0,55.0,2026-01-01,2026-03-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,2026-04-01,2026-05-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,5,16,1,3,78.5,157.0,15.0,27.5,2026-04-01,2026-05-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,157.0,314.0,30.0,55.0,2026-04-01,2026-05-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,2026-06-01,2026-10-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,5,16,1,3,127.5,255.0,15.0,27.5,2026-06-01,2026-10-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,255.0,510.0,30.0,55.0,2026-06-01,2026-10-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,2026-11-01,2026-12-15
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,5,16,1,3,110.0,220.0,15.0,27.5,2026-11-01,2026-12-15
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,220.0,440.0,30.0,55.0,2026-11-01,2026-12-15
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,2026-12-16,2026-12-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,5,16,1,3,127.5,255.0,15.0,27.5,2026-12-16,2026-12-31
,Moon Bow Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,255.0,510.0,30.0,55.0,2026-12-16,2026-12-31
