location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,99,1,1,501.5,0.0,0.0,0.0,01/01/2027,31/03/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,99,1,1,454.3,0.0,0.0,0.0,01/04/2027,14/06/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,99,1,1,501.5,0.0,0.0,0.0,15/06/2027,14/09/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,99,1,1,454.3,0.0,0.0,0.0,15/09/2027,09/12/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,99,1,1,501.5,0.0,0.0,0.0,10/12/2027,31/12/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,99,1,2,309.0,309.0,0.0,0.0,01/01/2027,31/03/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,99,1,2,239.0,239.0,0.0,0.0,01/04/2027,14/06/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,99,1,2,309.0,309.0,0.0,0.0,15/06/2027,14/09/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,99,1,2,239.0,239.0,0.0,0.0,15/09/2027,09/12/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,99,1,2,309.0,309.0,0.0,0.0,10/12/2027,31/12/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,99,1,3,239.33,239.33,0.0,0.0,01/01/2027,31/03/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,99,1,3,192.67,192.67,0.0,0.0,01/04/2027,14/06/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,99,1,3,239.33,239.33,0.0,0.0,15/06/2027,14/09/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,99,1,3,192.67,192.67,0.0,0.0,15/09/2027,09/12/2027
Ngorongoro,Ang'ata Ngorongoro Camp 2027,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,99,1,3,239.33,239.33,0.0,0.0,10/12/2027,31/12/2027
