location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Double,Test,2,5,15,1,2,135.0,270.0,0.0,0.0,01/07/2026,31/10/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Double,Test,2,16,99,1,2,270.0,270.0,0.0,0.0,01/07/2026,31/10/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Double,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Double,Test,2,5,15,1,2,97.5,195.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Double,Test,2,16,99,1,2,195.0,195.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Double,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,21/12/2026,31/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Double,Test,2,5,15,1,2,135.0,270.0,0.0,0.0,21/12/2026,31/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Double,Test,2,16,99,1,2,270.0,270.0,0.0,0.0,21/12/2026,31/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,25/01/2026,28/02/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,5,15,1,3,101.25,202.5,0.0,0.0,25/01/2026,28/02/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,16,99,1,3,202.5,202.5,0.0,0.0,25/01/2026,28/02/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,5,15,1,3,73.12,146.25,0.0,0.0,01/03/2026,31/03/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,16,99,1,3,146.25,146.25,0.0,0.0,01/03/2026,31/03/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,5,15,1,3,60.0,120.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,16,99,1,3,120.0,120.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,5,15,1,3,73.12,146.25,0.0,0.0,01/06/2026,30/06/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,16,99,1,3,146.25,146.25,0.0,0.0,01/06/2026,30/06/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,5,15,1,3,101.25,202.5,0.0,0.0,01/07/2026,31/10/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,16,99,1,3,202.5,202.5,0.0,0.0,01/07/2026,31/10/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,5,15,1,3,73.12,146.25,0.0,0.0,01/11/2026,20/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,16,99,1,3,146.25,146.25,0.0,0.0,01/11/2026,20/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,21/12/2026,31/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,5,15,1,3,101.25,202.5,0.0,0.0,21/12/2026,31/12/2026
Serengeti,Intimate Camp Seronera,,Test,FALSE,0,FALSE,USD,Tented Suites Triple,Test,3,16,99,1,3,202.5,202.5,0.0,0.0,21/12/2026,31/12/2026
