location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,4,11,1,2,125.0,250.0,0.0,0.0,01/01/2026,28/02/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,12,15,1,2,187.5,250.0,0.0,0.0,01/01/2026,28/02/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,250.0,250.0,0.0,0.0,01/01/2026,28/02/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,4,11,1,2,120.0,240.0,0.0,0.0,01/03/2026,31/05/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,12,15,1,2,180.0,240.0,0.0,0.0,01/03/2026,31/05/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,240.0,240.0,0.0,0.0,01/03/2026,31/05/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,4,11,1,2,125.0,250.0,0.0,0.0,01/06/2026,31/10/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,12,15,1,2,187.5,250.0,0.0,0.0,01/06/2026,31/10/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,250.0,250.0,0.0,0.0,01/06/2026,31/10/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,4,11,1,2,120.0,240.0,0.0,0.0,01/11/2026,19/12/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,12,15,1,2,180.0,240.0,0.0,0.0,01/11/2026,19/12/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,240.0,240.0,0.0,0.0,01/11/2026,19/12/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,20/12/2026,31/12/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,4,11,1,2,125.0,250.0,0.0,0.0,20/12/2026,31/12/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,12,15,1,2,187.5,250.0,0.0,0.0,20/12/2026,31/12/2026
,Mandhari Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,250.0,250.0,0.0,0.0,20/12/2026,31/12/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,4,11,1,3,110.0,220.0,0.0,0.0,01/01/2026,28/02/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,12,15,1,3,165.0,220.0,0.0,0.0,01/01/2026,28/02/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,16,99,1,3,220.0,220.0,0.0,0.0,01/01/2026,28/02/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,4,11,1,3,100.0,200.0,0.0,0.0,01/03/2026,31/05/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,12,15,1,3,150.0,200.0,0.0,0.0,01/03/2026,31/05/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,16,99,1,3,200.0,200.0,0.0,0.0,01/03/2026,31/05/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,4,11,1,3,110.0,220.0,0.0,0.0,01/06/2026,31/10/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,12,15,1,3,165.0,220.0,0.0,0.0,01/06/2026,31/10/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,16,99,1,3,220.0,220.0,0.0,0.0,01/06/2026,31/10/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,4,11,1,3,100.0,200.0,0.0,0.0,01/11/2026,19/12/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,12,15,1,3,150.0,200.0,0.0,0.0,01/11/2026,19/12/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,16,99,1,3,200.0,200.0,0.0,0.0,01/11/2026,19/12/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,20/12/2026,31/12/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,4,11,1,3,110.0,220.0,0.0,0.0,20/12/2026,31/12/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,12,15,1,3,165.0,220.0,0.0,0.0,20/12/2026,31/12/2026
,Mandhari Lodge,,,,0,,USD,Triple Room,,3,16,99,1,3,220.0,220.0,0.0,0.0,20/12/2026,31/12/2026
,Mandhari Lodge,,,,0,,USD,Quadruple Room,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
