location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Winters Tented Lodge LTD,,,,0,,USD,Twin Room,,2,12,99,1,2,80.0,80.0,0.0,10.0,01/06/2026,31/10/2026
,Winters Tented Lodge LTD,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Winters Tented Lodge LTD,,,,0,,USD,Twin Room,,2,6,11,1,2,25.0,70.0,0.0,5.0,01/11/2026,30/11/2026
,Winters Tented Lodge LTD,,,,0,,USD,Twin Room,,2,12,99,1,2,70.0,70.0,0.0,10.0,01/11/2026,30/11/2026
,Winters Tented Lodge LTD,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Winters Tented Lodge LTD,,,,0,,USD,Twin Room,,2,6,11,1,2,35.0,80.0,0.0,10.0,01/12/2026,31/12/2026
,Winters Tented Lodge LTD,,,,0,,USD,Twin Room,,2,12,99,1,2,80.0,80.0,0.0,10.0,01/12/2026,31/12/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,6,11,1,3,35.0,60.0,0.0,10.0,01/01/2026,31/03/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,12,99,1,3,60.0,60.0,0.0,7.0,01/01/2026,31/03/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,6,11,1,3,25.0,53.33,0.0,5.0,01/04/2026,31/05/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,12,99,1,3,53.33,53.33,0.0,7.0,01/04/2026,31/05/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,6,11,1,3,35.0,60.0,0.0,10.0,01/06/2026,31/10/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,12,99,1,3,60.0,60.0,0.0,7.0,01/06/2026,31/10/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,6,11,1,3,25.0,53.33,0.0,5.0,01/11/2026,30/11/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,12,99,1,3,53.33,53.33,0.0,7.0,01/11/2026,30/11/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,6,11,1,3,35.0,60.0,0.0,10.0,01/12/2026,31/12/2026
,Winters Tented Lodge LTD,,,,0,,USD,Triple Room,,3,12,99,1,3,60.0,60.0,0.0,7.0,01/12/2026,31/12/2026
