location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Ang'ata Tarangire Camp,,Test,,0,,USD,Single Room,,1,0,99,1,1,320.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Single Room,,1,0,99,1,1,200.0,0.0,0.0,0.0,01/04/2026,14/06/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Single Room,,1,0,99,1,1,320.0,0.0,0.0,0.0,15/06/2026,14/09/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Single Room,,1,0,99,1,1,200.0,0.0,0.0,0.0,15/09/2026,09/12/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Single Room,,1,0,99,1,1,320.0,0.0,0.0,0.0,10/12/2026,31/12/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Double Room,,2,0,99,1,2,182.5,182.5,0.0,0.0,01/01/2026,31/03/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Double Room,,2,0,99,1,2,135.0,135.0,0.0,0.0,01/04/2026,14/06/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Double Room,,2,0,99,1,2,182.5,182.5,0.0,0.0,15/06/2026,14/09/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Double Room,,2,0,99,1,2,135.0,135.0,0.0,0.0,15/09/2026,09/12/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Double Room,,2,0,99,1,2,182.5,182.5,0.0,0.0,10/12/2026,31/12/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Triple Room,,3,0,99,1,3,161.67,161.67,0.0,0.0,01/01/2026,31/03/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Triple Room,,3,0,99,1,3,131.67,131.67,0.0,0.0,01/04/2026,14/06/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Triple Room,,3,0,99,1,3,161.67,161.67,0.0,0.0,15/06/2026,14/09/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Triple Room,,3,0,99,1,3,131.67,131.67,0.0,0.0,15/09/2026,09/12/2026
,Ang'ata Tarangire Camp,,Test,,0,,USD,Triple Room,,3,0,99,1,3,161.67,161.67,0.0,0.0,10/12/2026,31/12/2026
