location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,0,4,1,1,254.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,5,12,1,1,127.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,13,99,1,1,254.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,0,4,1,1,165.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,5,12,1,1,82.5,0.0,0.0,0.0,01/03/2026,31/05/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,13,99,1,1,165.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,0,4,1,1,254.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,5,12,1,1,127.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,13,99,1,1,254.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,0,4,1,1,210.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,5,12,1,1,105.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,13,99,1,1,210.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,0,4,1,1,254.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,5,12,1,1,127.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Baobab Migration Camps,,,,0,,USD,Single Room,,1,13,99,1,1,254.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,0,4,1,2,200.0,200.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,5,12,1,2,100.0,200.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,13,99,1,2,200.0,200.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,0,4,1,2,138.0,138.0,0.0,0.0,01/03/2026,31/05/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,5,12,1,2,69.0,138.0,0.0,0.0,01/03/2026,31/05/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,13,99,1,2,138.0,138.0,0.0,0.0,01/03/2026,31/05/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,0,4,1,2,200.0,200.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,5,12,1,2,100.0,200.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,13,99,1,2,200.0,200.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,0,4,1,2,165.0,165.0,0.0,0.0,01/11/2026,15/12/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,5,12,1,2,82.5,165.0,0.0,0.0,01/11/2026,15/12/2026
,Baobab Migration Camps,,,,0,,USD,Double Room,,2,13,99,1,2,165.0,165.0,0.0,0.0,01/11/2026,15/12/2026
