hotel_name,room_name,room_description,capacity_adults,capacity_children,season_name,start_date,end_date,rate,currency,meal_plan,age_band_from,age_band_to,discount_pct,free_of_charge,margin,ignore_proposal_margin,contract_year,notes
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,January,2026-01-07,2026-01-31,255.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,260.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,September,2026-09-16,2026-10-31,265.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,285.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,4.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,370.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,September,2026-09-16,2026-10-31,375.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,September,2026-09-16,2026-10-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,September,2026-09-16,2026-10-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,395.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Junior Suite,Junior Suite,2,0,January,2026-01-07,2026-01-31,310.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Junior Suite,Junior Suite,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Junior Suite,Junior Suite,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Junior Suite,Junior Suite,2,0,September,2026-09-16,2026-10-31,315.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Junior Suite,Junior Suite,2,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Junior Suite,Junior Suite,2,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Junior Suite,Junior Suite,2,0,January,2026-01-07,2026-01-31,335.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Junior Suite,Junior Suite,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Junior Suite,Junior Suite,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Single,Single,1,0,January,2026-01-07,2026-01-31,190.0,USD,RO,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Single,Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,RO,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Single,Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,RO,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Single,Single,1,0,September,2026-09-16,2026-10-31,195.0,USD,RO,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Single,Single,1,0,September,2026-09-16,2026-10-31,0.0,USD,RO,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Single,Single,1,0,September,2026-09-16,2026-10-31,0.0,USD,RO,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Single,Single,1,0,January,2026-01-07,2026-01-31,215.0,USD,RO,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Single,Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,RO,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Single,Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,RO,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Double/Twin,Double/Twin,2,0,January,2026-01-07,2026-01-31,220.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Double/Twin,Double/Twin,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Double/Twin,Double/Twin,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Double/Twin,Double/Twin,2,0,September,2026-09-16,2026-10-31,225.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Double/Twin,Double/Twin,2,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Double/Twin,Double/Twin,2,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Double/Twin,Double/Twin,2,0,January,2026-01-07,2026-01-31,245.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Double/Twin,Double/Twin,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Double/Twin,Double/Twin,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Triple (Executive Room),Triple (Executive Room),3,0,January,2026-01-07,2026-01-31,325.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Triple (Executive Room),Triple (Executive Room),3,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Triple (Executive Room),Triple (Executive Room),3,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Triple (Executive Room),Triple (Executive Room),3,0,September,2026-09-16,2026-10-31,330.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Triple (Executive Room),Triple (Executive Room),3,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Triple (Executive Room),Triple (Executive Room),3,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Triple (Executive Room),Triple (Executive Room),3,0,January,2026-01-07,2026-01-31,350.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Triple (Executive Room),Triple (Executive Room),3,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Triple (Executive Room),Triple (Executive Room),3,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,January,2026-01-07,2026-01-31,240.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,September,2026-09-16,2026-10-31,245.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,January,2026-01-07,2026-01-31,265.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Single,Executive Room - Single,1,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,270.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,September,2026-09-16,2026-10-31,275.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,September,2026-09-16,2026-10-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,295.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Executive Room - Double,Executive Room - Double,2,0,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,380.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,January,2026-01-07,2026-01-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,September,2026-09-16,2026-10-31,385.0,USD,,18,99,0.0,FALSE,0.0,0,2026,
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,September,2026-09-16,2026-10-31,0.0,USD,,2,11,0.0,TRUE,0.0,0,2026,Children up to five (05) years of age staying at their parent’s room stay free of charge with a maximum of two (02) chil
20260304 100101 Kiwoito Africa Safaris Sto,Family Room (4 pax),Family Room (4 pax),2,2,September,2026-09-16,2026-10-31,0.0,USD,,2,11,50.0,TRUE,0.0,0,2026,50% discount on buffet breakfast and buffet dinner (when booked on Half Board basis) with a maximum of two (02) children
